load_dt (UTC);map_code;load_nature;load_power (MW);commodity;load_power (GW)
2018-01-01 09:15:00+00:00;FR;load_nature_forecast D-1;49100.0;EL;49.1
2018-01-01 09:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 09:30:00+00:00;FR;load_nature_forecast D-0;52100.0;EL;52.1
2018-01-01 09:30:00+00:00;FR;load_nature_forecast D-1;49700.0;EL;49.7
2018-01-01 09:30:00+00:00;FR;load_nature_observation;53597.0;EL;53.597
2018-01-01 09:45:00+00:00;FR;load_nature_forecast D-0;52600.0;EL;52.6
2018-01-01 09:45:00+00:00;FR;load_nature_forecast D-1;50300.0;EL;50.3
2018-01-01 09:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 10:00:00+00:00;FR;load_nature_forecast D-0;53100.0;EL;53.1
2018-01-01 10:00:00+00:00;FR;load_nature_forecast D-1;50900.0;EL;50.9
2018-01-01 10:00:00+00:00;FR;load_nature_observation;54658.0;EL;54.658
2018-01-01 10:15:00+00:00;FR;load_nature_forecast D-0;53800.0;EL;53.8
2018-01-01 10:15:00+00:00;FR;load_nature_forecast D-1;51500.0;EL;51.5
2018-01-01 10:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 10:30:00+00:00;FR;load_nature_forecast D-0;54500.0;EL;54.5
2018-01-01 10:30:00+00:00;FR;load_nature_forecast D-1;52100.0;EL;52.1
2018-01-01 10:30:00+00:00;FR;load_nature_observation;56064.0;EL;56.064
2018-01-01 10:45:00+00:00;FR;load_nature_forecast D-0;55450.0;EL;55.45
2018-01-01 10:45:00+00:00;FR;load_nature_forecast D-1;52800.0;EL;52.8
2018-01-01 10:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 11:00:00+00:00;FR;load_nature_forecast D-0;56400.0;EL;56.4
2018-01-01 11:00:00+00:00;FR;load_nature_forecast D-1;53500.0;EL;53.5
2018-01-01 11:00:00+00:00;FR;load_nature_observation;57169.0;EL;57.169
2018-01-01 11:15:00+00:00;FR;load_nature_forecast D-0;56250.0;EL;56.25
2018-01-01 11:15:00+00:00;FR;load_nature_forecast D-1;54000.0;EL;54.0
2018-01-01 11:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 11:30:00+00:00;FR;load_nature_forecast D-0;56100.0;EL;56.1
2018-01-01 11:30:00+00:00;FR;load_nature_forecast D-1;54500.0;EL;54.5
2018-01-01 11:30:00+00:00;FR;load_nature_observation;58379.0;EL;58.379
2018-01-01 11:45:00+00:00;FR;load_nature_forecast D-0;57250.0;EL;57.25
2018-01-01 11:45:00+00:00;FR;load_nature_forecast D-1;55300.0;EL;55.3
2018-01-01 11:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 12:00:00+00:00;FR;load_nature_forecast D-0;58400.0;EL;58.4
2018-01-01 12:00:00+00:00;FR;load_nature_forecast D-1;56100.0;EL;56.1
2018-01-01 12:00:00+00:00;FR;load_nature_observation;59666.0;EL;59.666
2018-01-01 12:15:00+00:00;FR;load_nature_forecast D-0;57500.0;EL;57.5
2018-01-01 12:15:00+00:00;FR;load_nature_forecast D-1;55100.0;EL;55.1
2018-01-01 12:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 12:30:00+00:00;FR;load_nature_forecast D-0;56600.0;EL;56.6
2018-01-01 12:30:00+00:00;FR;load_nature_forecast D-1;54100.0;EL;54.1
2018-01-01 12:30:00+00:00;FR;load_nature_observation;58466.0;EL;58.466
2018-01-01 12:45:00+00:00;FR;load_nature_forecast D-0;56100.0;EL;56.1
2018-01-01 12:45:00+00:00;FR;load_nature_forecast D-1;53500.0;EL;53.5
2018-01-01 12:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 13:00:00+00:00;FR;load_nature_forecast D-0;55600.0;EL;55.6
2018-01-01 13:00:00+00:00;FR;load_nature_forecast D-1;52900.0;EL;52.9
2018-01-01 13:00:00+00:00;FR;load_nature_observation;57285.0;EL;57.285
2018-01-01 13:15:00+00:00;FR;load_nature_forecast D-0;55550.0;EL;55.55
2018-01-01 13:15:00+00:00;FR;load_nature_forecast D-1;52700.0;EL;52.7
2018-01-01 13:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 13:30:00+00:00;FR;load_nature_forecast D-0;55500.0;EL;55.5
2018-01-01 13:30:00+00:00;FR;load_nature_forecast D-1;52500.0;EL;52.5
2018-01-01 13:30:00+00:00;FR;load_nature_observation;56258.0;EL;56.258
2018-01-01 13:45:00+00:00;FR;load_nature_forecast D-0;54700.0;EL;54.7
2018-01-01 13:45:00+00:00;FR;load_nature_forecast D-1;51850.0;EL;51.85
2018-01-01 13:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 14:00:00+00:00;FR;load_nature_forecast D-0;53900.0;EL;53.9
2018-01-01 14:00:00+00:00;FR;load_nature_forecast D-1;51200.0;EL;51.2
2018-01-01 14:00:00+00:00;FR;load_nature_observation;55044.0;EL;55.044
2018-01-01 14:15:00+00:00;FR;load_nature_forecast D-0;53600.0;EL;53.6
2018-01-01 14:15:00+00:00;FR;load_nature_forecast D-1;50950.0;EL;50.95
2018-01-01 14:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 14:30:00+00:00;FR;load_nature_forecast D-0;53300.0;EL;53.3
2018-01-01 14:30:00+00:00;FR;load_nature_forecast D-1;50700.0;EL;50.7
2018-01-01 14:30:00+00:00;FR;load_nature_observation;54913.0;EL;54.913
2018-01-01 14:45:00+00:00;FR;load_nature_forecast D-0;53100.0;EL;53.1
2018-01-01 14:45:00+00:00;FR;load_nature_forecast D-1;50600.0;EL;50.6
2018-01-01 14:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 15:00:00+00:00;FR;load_nature_forecast D-0;52900.0;EL;52.9
2018-01-01 15:00:00+00:00;FR;load_nature_forecast D-1;50500.0;EL;50.5
2018-01-01 15:00:00+00:00;FR;load_nature_observation;54649.0;EL;54.649
2018-01-01 15:15:00+00:00;FR;load_nature_forecast D-0;52900.0;EL;52.9
2018-01-01 15:15:00+00:00;FR;load_nature_forecast D-1;50550.0;EL;50.55
2018-01-01 15:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 15:30:00+00:00;FR;load_nature_forecast D-0;52900.0;EL;52.9
2018-01-01 15:30:00+00:00;FR;load_nature_forecast D-1;50600.0;EL;50.6
2018-01-01 15:30:00+00:00;FR;load_nature_observation;54979.0;EL;54.979
2018-01-01 15:45:00+00:00;FR;load_nature_forecast D-0;53200.0;EL;53.2
2018-01-01 15:45:00+00:00;FR;load_nature_forecast D-1;50950.0;EL;50.95
2018-01-01 15:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 16:00:00+00:00;FR;load_nature_forecast D-0;53500.0;EL;53.5
2018-01-01 16:00:00+00:00;FR;load_nature_forecast D-1;51300.0;EL;51.3
2018-01-01 16:00:00+00:00;FR;load_nature_observation;55705.0;EL;55.705
2018-01-01 16:15:00+00:00;FR;load_nature_forecast D-0;54750.0;EL;54.75
2018-01-01 16:15:00+00:00;FR;load_nature_forecast D-1;52600.0;EL;52.6
2018-01-01 16:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 16:30:00+00:00;FR;load_nature_forecast D-0;56000.0;EL;56.0
2018-01-01 16:30:00+00:00;FR;load_nature_forecast D-1;53900.0;EL;53.9
2018-01-01 16:30:00+00:00;FR;load_nature_observation;58038.0;EL;58.038
2018-01-01 16:45:00+00:00;FR;load_nature_forecast D-0;57000.0;EL;57.0
2018-01-01 16:45:00+00:00;FR;load_nature_forecast D-1;54900.0;EL;54.9
2018-01-01 16:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 17:00:00+00:00;FR;load_nature_forecast D-0;58000.0;EL;58.0
2018-01-01 17:00:00+00:00;FR;load_nature_forecast D-1;55900.0;EL;55.9
2018-01-01 17:00:00+00:00;FR;load_nature_observation;60296.0;EL;60.296
2018-01-01 17:15:00+00:00;FR;load_nature_forecast D-0;58550.0;EL;58.55
2018-01-01 17:15:00+00:00;FR;load_nature_forecast D-1;56500.0;EL;56.5
2018-01-01 17:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 17:30:00+00:00;FR;load_nature_forecast D-0;59100.0;EL;59.1
2018-01-01 17:30:00+00:00;FR;load_nature_forecast D-1;57100.0;EL;57.1
2018-01-01 17:30:00+00:00;FR;load_nature_observation;61579.0;EL;61.579
2018-01-01 17:45:00+00:00;FR;load_nature_forecast D-0;59500.0;EL;59.5
2018-01-01 17:45:00+00:00;FR;load_nature_forecast D-1;57550.0;EL;57.55
2018-01-01 17:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 18:00:00+00:00;FR;load_nature_forecast D-0;59900.0;EL;59.9
2018-01-01 18:00:00+00:00;FR;load_nature_forecast D-1;58000.0;EL;58.0
2018-01-01 18:00:00+00:00;FR;load_nature_observation;62822.0;EL;62.822
2018-01-01 18:15:00+00:00;FR;load_nature_forecast D-0;59900.0;EL;59.9
2018-01-01 18:15:00+00:00;FR;load_nature_forecast D-1;58050.0;EL;58.05
2018-01-01 18:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 18:30:00+00:00;FR;load_nature_forecast D-0;59900.0;EL;59.9
2018-01-01 18:30:00+00:00;FR;load_nature_forecast D-1;58100.0;EL;58.1
2018-01-01 18:30:00+00:00;FR;load_nature_observation;63153.0;EL;63.153
2018-01-01 18:45:00+00:00;FR;load_nature_forecast D-0;59750.0;EL;59.75
2018-01-01 18:45:00+00:00;FR;load_nature_forecast D-1;58000.0;EL;58.0
2018-01-01 18:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 19:00:00+00:00;FR;load_nature_forecast D-0;59600.0;EL;59.6
2018-01-01 19:00:00+00:00;FR;load_nature_forecast D-1;57900.0;EL;57.9
2018-01-01 19:00:00+00:00;FR;load_nature_observation;62487.0;EL;62.487
2018-01-01 19:15:00+00:00;FR;load_nature_forecast D-0;59400.0;EL;59.4
2018-01-01 19:15:00+00:00;FR;load_nature_forecast D-1;57700.0;EL;57.7
2018-01-01 19:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 19:30:00+00:00;FR;load_nature_forecast D-0;59200.0;EL;59.2
2018-01-01 19:30:00+00:00;FR;load_nature_forecast D-1;57500.0;EL;57.5
2018-01-01 19:30:00+00:00;FR;load_nature_observation;61509.0;EL;61.509
2018-01-01 19:45:00+00:00;FR;load_nature_forecast D-0;58850.0;EL;58.85
2018-01-01 19:45:00+00:00;FR;load_nature_forecast D-1;57200.0;EL;57.2
2018-01-01 19:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 20:00:00+00:00;FR;load_nature_forecast D-0;58500.0;EL;58.5
2018-01-01 20:00:00+00:00;FR;load_nature_forecast D-1;56900.0;EL;56.9
2018-01-01 20:00:00+00:00;FR;load_nature_observation;60475.0;EL;60.475
2018-01-01 20:15:00+00:00;FR;load_nature_forecast D-0;57950.0;EL;57.95
2018-01-01 20:15:00+00:00;FR;load_nature_forecast D-1;56400.0;EL;56.4
2018-01-01 20:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 20:30:00+00:00;FR;load_nature_forecast D-0;57400.0;EL;57.4
2018-01-01 20:30:00+00:00;FR;load_nature_forecast D-1;55900.0;EL;55.9
2018-01-01 20:30:00+00:00;FR;load_nature_observation;59427.0;EL;59.427
2018-01-01 20:45:00+00:00;FR;load_nature_forecast D-0;56850.0;EL;56.85
2018-01-01 20:45:00+00:00;FR;load_nature_forecast D-1;55400.0;EL;55.4
2018-01-01 20:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 21:00:00+00:00;FR;load_nature_forecast D-0;56300.0;EL;56.3
2018-01-01 21:00:00+00:00;FR;load_nature_forecast D-1;54900.0;EL;54.9
2018-01-01 21:00:00+00:00;FR;load_nature_observation;58386.0;EL;58.386
2018-01-01 21:15:00+00:00;FR;load_nature_forecast D-0;56950.0;EL;56.95
2018-01-01 21:15:00+00:00;FR;load_nature_forecast D-1;55550.0;EL;55.55
2018-01-01 21:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 21:30:00+00:00;FR;load_nature_forecast D-0;57600.0;EL;57.6
2018-01-01 21:30:00+00:00;FR;load_nature_forecast D-1;56200.0;EL;56.2
2018-01-01 21:30:00+00:00;FR;load_nature_observation;58918.0;EL;58.918
2018-01-01 21:45:00+00:00;FR;load_nature_forecast D-0;58800.0;EL;58.8
2018-01-01 21:45:00+00:00;FR;load_nature_forecast D-1;57450.0;EL;57.45
2018-01-01 21:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 22:00:00+00:00;FR;load_nature_forecast D-0;60000.0;EL;60.0
2018-01-01 22:00:00+00:00;FR;load_nature_forecast D-1;58700.0;EL;58.7
2018-01-01 22:00:00+00:00;FR;load_nature_observation;61348.0;EL;61.348
2018-01-01 22:15:00+00:00;FR;load_nature_forecast D-0;60000.0;EL;60.0
2018-01-01 22:15:00+00:00;FR;load_nature_forecast D-1;58500.0;EL;58.5
2018-01-01 22:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 22:30:00+00:00;FR;load_nature_forecast D-0;60000.0;EL;60.0
2018-01-01 22:30:00+00:00;FR;load_nature_forecast D-1;58300.0;EL;58.3
2018-01-01 22:30:00+00:00;FR;load_nature_observation;60685.0;EL;60.685
2018-01-01 22:45:00+00:00;FR;load_nature_forecast D-0;59300.0;EL;59.3
2018-01-01 22:45:00+00:00;FR;load_nature_forecast D-1;58450.0;EL;58.45
2018-01-01 22:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 23:00:00+00:00;FR;load_nature_forecast D-0;58500.0;EL;58.5
2018-01-01 23:00:00+00:00;FR;load_nature_forecast D-1;58600.0;EL;58.6
2018-01-01 23:00:00+00:00;FR;load_nature_observation;60489.0;EL;60.489
2018-01-01 23:15:00+00:00;FR;load_nature_forecast D-0;57650.0;EL;57.65
2018-01-01 23:15:00+00:00;FR;load_nature_forecast D-1;57750.0;EL;57.75
2018-01-01 23:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 23:30:00+00:00;FR;load_nature_forecast D-0;56800.0;EL;56.8
2018-01-01 23:30:00+00:00;FR;load_nature_forecast D-1;56900.0;EL;56.9
2018-01-01 23:30:00+00:00;FR;load_nature_observation;58894.0;EL;58.894
2018-01-01 23:45:00+00:00;FR;load_nature_forecast D-0;55650.0;EL;55.65
2018-01-01 23:45:00+00:00;FR;load_nature_forecast D-1;55900.0;EL;55.9
2018-01-01 23:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-02 00:00:00+00:00;FR;load_nature_forecast D-0;54500.0;EL;54.5
2018-01-02 00:00:00+00:00;FR;load_nature_forecast D-1;54900.0;EL;54.9
2018-01-02 00:00:00+00:00;FR;load_nature_observation;56286.0;EL;56.286
2018-01-02 00:15:00+00:00;FR;load_nature_forecast D-0;54900.0;EL;54.9
2018-01-02 00:15:00+00:00;FR;load_nature_forecast D-1;55200.0;EL;55.2
2018-01-02 00:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-02 00:30:00+00:00;FR;load_nature_forecast D-0;55300.0;EL;55.3
2018-01-02 00:30:00+00:00;FR;load_nature_forecast D-1;55500.0;EL;55.5
2018-01-02 00:30:00+00:00;FR;load_nature_observation;56040.0;EL;56.04
2018-01-02 00:45:00+00:00;FR;load_nature_forecast D-0;55050.0;EL;55.05
2018-01-02 00:45:00+00:00;FR;load_nature_forecast D-1;55500.0;EL;55.5
2018-01-02 00:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-02 01:00:00+00:00;FR;load_nature_forecast D-0;54800.0;EL;54.8
2018-01-02 01:00:00+00:00;FR;load_nature_forecast D-1;55500.0;EL;55.5
2018-01-02 01:00:00+00:00;FR;load_nature_observation;55482.0;EL;55.482
2018-01-02 01:15:00+00:00;FR;load_nature_forecast D-0;54050.0;EL;54.05
2018-01-02 01:15:00+00:00;FR;load_nature_forecast D-1;54950.0;EL;54.95
2018-01-02 01:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-02 01:30:00+00:00;FR;load_nature_forecast D-0;53300.0;EL;53.3
2018-01-02 01:30:00+00:00;FR;load_nature_forecast D-1;54400.0;EL;54.4
2018-01-02 01:30:00+00:00;FR;load_nature_observation;55083.0;EL;55.083
2018-01-02 01:45:00+00:00;FR;load_nature_forecast D-0;52450.0;EL;52.45
2018-01-02 01:45:00+00:00;FR;load_nature_forecast D-1;53550.0;EL;53.55
2018-01-02 01:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-02 02:00:00+00:00;FR;load_nature_forecast D-0;51600.0;EL;51.6
2018-01-02 02:00:00+00:00;FR;load_nature_forecast D-1;52700.0;EL;52.7
2018-01-02 02:00:00+00:00;FR;load_nature_observation;53350.0;EL;53.35
2018-01-02 02:15:00+00:00;FR;load_nature_forecast D-0;51100.0;EL;51.1
2018-01-02 02:15:00+00:00;FR;load_nature_forecast D-1;52150.0;EL;52.15
2018-01-02 02:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-02 02:30:00+00:00;FR;load_nature_forecast D-0;50600.0;EL;50.6
2018-01-02 02:30:00+00:00;FR;load_nature_forecast D-1;51600.0;EL;51.6
2018-01-02 02:30:00+00:00;FR;load_nature_observation;52338.0;EL;52.338
