publication_id;version;publication_dt (UTC);outage_begin_dt (UTC);outage_end_dt (UTC);unit_name;available capacity (MW);nominal capacity (MW);producer_name;map_code;production_source;creation_dt (UTC);outage_type;outage_cause;outage_status;source
-EDF-05470-EDF-T-00050263_001;1;2020-10-08 05:46:00+00:00;;;GRAVELINES 5;753.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050004_004;4;2020-10-08 03:11:00+00:00;;;GRAVELINES 5;748.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Annulé;RTE
-EDF-05470-EDF-T-00050004_003;3;2020-10-07 02:42:00+00:00;;;GRAVELINES 5;748.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050004_002;2;2020-10-06 02:46:00+00:00;;;GRAVELINES 5;748.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050004_001;1;2020-09-25 11:46:00+00:00;;;GRAVELINES 5;753.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050244_002;2;2020-10-08 03:01:00+00:00;;;BELLEVILLE 2;1195.0;1310.0;EDF;FR;nuclear;;planned;Information Complémentaire;Annulé;RTE
-EDF-05470-EDF-T-00050244_001;1;2020-10-07 10:09:00+00:00;;;BELLEVILLE 2;1195.0;1310.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050248_004;4;2020-10-07 22:41:00+00:00;;;DAMPIERRE 2;480.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050248_003;3;2020-10-07 16:16:00+00:00;;;DAMPIERRE 2;480.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050248_002;2;2020-10-07 15:46:00+00:00;;;DAMPIERRE 2;525.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050248_001;1;2020-10-07 14:56:00+00:00;;;DAMPIERRE 2;650.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047753_010;10;2020-10-07 18:31:00+00:00;;;CIVAUX 2;0.0;1495.0;EDF;FR;nuclear;;planned;Information Complémentaire;Inactif;RTE
-EDF-05470-EDF-T-00047753_009;9;2020-10-07 17:36:00+00:00;;;CIVAUX 2;0.0;1495.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047753_008;8;2020-10-07 16:56:00+00:00;;;CIVAUX 2;0.0;1495.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047753_007;7;2020-10-07 15:51:00+00:00;;;CIVAUX 2;0.0;1495.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047753_006;6;2020-09-24 11:46:00+00:00;;;CIVAUX 2;0.0;1495.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047753_005;5;2020-08-28 10:52:00+00:00;;;CIVAUX 2;0.0;1495.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047753_004;4;2020-08-11 09:10:00+00:00;;;CIVAUX 2;0.0;1495.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047753_003;3;2020-07-31 08:19:00+00:00;;;CIVAUX 2;0.0;1495.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047753_002;2;2020-07-30 16:51:00+00:00;;;CIVAUX 2;0.0;1495.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047753_001;1;2020-05-29 09:40:00+00:00;;;CIVAUX 2;0.0;1495.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050228_001;1;2020-10-06 11:08:00+00:00;;;CRUAS 2;370.0;915.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050226_002;2;2020-10-06 11:07:00+00:00;;;CRUAS 2;370.0;915.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Annulé;RTE
-EDF-05470-EDF-T-00050226_001;1;2020-10-06 10:47:00+00:00;;;CRUAS 2;370.0;915.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050194_002;2;2020-10-06 02:41:00+00:00;;;GRAVELINES 5;379.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Annulé;RTE
-EDF-05470-EDF-T-00050194_001;1;2020-10-05 10:11:00+00:00;;;GRAVELINES 5;379.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050204_003;3;2020-10-06 01:31:00+00:00;;;CHOOZ 1;800.0;1500.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Inactif;RTE
-EDF-05470-EDF-T-00050204_002;2;2020-10-05 23:11:00+00:00;;;CHOOZ 1;800.0;1500.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050204_001;1;2020-10-05 20:06:00+00:00;;;CHOOZ 1;900.0;1500.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050086_008;8;2020-10-05 09:41:00+00:00;;;CHINON 2;0.0;905.0;EDF;FR;nuclear;;planned;Information Complémentaire;Inactif;RTE
-EDF-05470-EDF-T-00050086_007;7;2020-10-05 09:11:00+00:00;;;CHINON 2;0.0;905.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050086_006;6;2020-10-05 08:16:00+00:00;;;CHINON 2;0.0;905.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050086_005;5;2020-10-04 14:36:00+00:00;;;CHINON 2;0.0;905.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050086_004;4;2020-10-01 07:30:00+00:00;;;CHINON 2;0.0;905.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050086_003;3;2020-10-01 04:50:00+00:00;;;CHINON 2;0.0;905.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050086_002;2;2020-10-01 02:40:00+00:00;;;CHINON 2;0.0;905.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
